Type	Domain	Id	Name	Value	Unit
Position	L_material	n/a	x0 min	0.0	[]
Position	L_material	n/a	x0 max	42.0	[]
Length	L_material	n/a	along x0	42.0	[]
Position	L_material	n/a	x0 min	0.0	m
Position	L_material	n/a	x0 max	4.2e-05	m
Length	L_material	n/a	along x0	4.2e-05	m
Position	L_material	n/a	x1 min	0.0	[]
Position	L_material	n/a	x1 max	18.8	[]
Length	L_material	n/a	along x1	18.8	[]
Position	L_material	n/a	x1 min	0.0	m
Position	L_material	n/a	x1 max	1.88e-05	m
Length	L_material	n/a	along x1	1.88e-05	m
Position	L_material	n/a	x2 min	0.0	[]
Position	L_material	n/a	x2 max	18.8	[]
Length	L_material	n/a	along x2	18.8	[]
Position	L_material	n/a	x2 min	0.0	m
Position	L_material	n/a	x2 max	1.88e-05	m
Length	L_material	n/a	along x2	1.88e-05	m
Surface mesh	L_material	1	L. Active material - electrolyte+separator free of CBD (active interface)	6.592160000000236e-09	m2
Surface mesh	L_material	1	L. Active material - electrolyte+separator (active interface) MESH	6.592160000000236e-09	m2
Surface true	L_material	1	L. Active material - electrolyte+separator (active interface) TRUE	6.592160000000236e-09	m2
Surface mesh	L_material	2	L. Active material - L. current collector (applied current) MESH	2.9455999999999686e-10	m2
Surface mesh	L_material	7	L. Active material - other surfaces (inactive interface) MESH	2.600319999999979e-09	m2
Surface mesh	L_material	0	L. Active material non attributed surfaces  (should be =0) MESH	0.0	m2
Position	Electrolyte_w_sep	n/a	x0 min	0.0	[]
Position	Electrolyte_w_sep	n/a	x0 max	103.2	[]
Length	Electrolyte_w_sep	n/a	along x0	103.2	[]
Position	Electrolyte_w_sep	n/a	x0 min	0.0	m
Position	Electrolyte_w_sep	n/a	x0 max	0.0001032	m
Length	Electrolyte_w_sep	n/a	along x0	0.0001032	m
Position	Electrolyte_w_sep	n/a	x1 min	0.0	[]
Position	Electrolyte_w_sep	n/a	x1 max	18.8	[]
Length	Electrolyte_w_sep	n/a	along x1	18.8	[]
Position	Electrolyte_w_sep	n/a	x1 min	0.0	m
Position	Electrolyte_w_sep	n/a	x1 max	1.88e-05	m
Length	Electrolyte_w_sep	n/a	along x1	1.88e-05	m
Position	Electrolyte_w_sep	n/a	x2 min	0.0	[]
Position	Electrolyte_w_sep	n/a	x2 max	18.8	[]
Length	Electrolyte_w_sep	n/a	along x2	18.8	[]
Position	Electrolyte_w_sep	n/a	x2 min	0.0	m
Position	Electrolyte_w_sep	n/a	x2 max	1.88e-05	m
Length	Electrolyte_w_sep	n/a	along x2	1.88e-05	m
Surface mesh	Electrolyte_w_sep	1	L. Active material - electrolyte+separator (active interface) MESH	6.592160000000067e-09	m2
Surface true	Electrolyte_w_sep	1	L. Active material - electrolyte+separator (active interface) TRUE	6.592160000000067e-09	m2
Surface mesh	Electrolyte_w_sep	3	L. current collector - electrolyte+separator (inactive interface) MESH	5.887999999999998e-11	m2
Surface mesh	Electrolyte_w_sep	4	R. Active material - electrolyte+separator (active interface) MESH	6.592160000000014e-09	m2
Surface true	Electrolyte_w_sep	4	R. Active material - electrolyte+separator (active interface) TRUE	6.592160000000014e-09	m2
Surface mesh	Electrolyte_w_sep	6	R. current collector - electrolyte+separator (inactive interface) MESH	5.888000000000012e-11	m2
Surface mesh	Electrolyte_w_sep	7	Electrolyte+separator - other surfaces (inactive interface) MESH	2.559999999999988e-09	m2
Surface mesh	Electrolyte_w_sep	0	Electrolyte+separator non attributed surfaces  (should be =0) MESH	0.0	m2
Surface mesh	Electrolyte_w_sep	8	Electrolyte+separator - solid separator MESH	0.0	m2
Position	Separator	n/a	x0 min	44.0	[]
Position	Separator	n/a	x0 max	59.2	[]
Position	Separator	n/a	x0 min	4.4e-05	m
Position	Separator	n/a	x0 max	5.92e-05	m
Position	Separator	n/a	x1 min	0.0	[]
Position	Separator	n/a	x1 max	18.8	[]
Position	Separator	n/a	x1 min	0.0	m
Position	Separator	n/a	x1 max	1.88e-05	m
Position	Separator	n/a	x2 min	0.0	[]
Position	Separator	n/a	x2 max	18.8	[]
Position	Separator	n/a	x2 min	0.0	m
Position	Separator	n/a	x2 max	1.88e-05	m
Length	Separator	n/a	along x0	15.200000000000003	[]
Length	Separator	n/a	along x0	1.5200000000000002e-05	m
Length	Separator	n/a	along x1	18.8	[]
Length	Separator	n/a	along x1	1.88e-05	m
Length	Separator	n/a	along x2	18.8	[]
Length	Separator	n/a	along x2	1.88e-05	m
Position	R_material	n/a	x0 min	61.2	[]
Position	R_material	n/a	x0 max	103.2	[]
Length	R_material	n/a	along x0	42.0	[]
Position	R_material	n/a	x0 min	6.12e-05	m
Position	R_material	n/a	x0 max	0.0001032	m
Length	R_material	n/a	along x0	4.2e-05	m
Position	R_material	n/a	x1 min	0.0	[]
Position	R_material	n/a	x1 max	18.8	[]
Length	R_material	n/a	along x1	18.8	[]
Position	R_material	n/a	x1 min	0.0	m
Position	R_material	n/a	x1 max	1.88e-05	m
Length	R_material	n/a	along x1	1.88e-05	m
Position	R_material	n/a	x2 min	0.0	[]
Position	R_material	n/a	x2 max	18.8	[]
Length	R_material	n/a	along x2	18.8	[]
Position	R_material	n/a	x2 min	0.0	m
Position	R_material	n/a	x2 max	1.88e-05	m
Length	R_material	n/a	along x2	1.88e-05	m
Surface mesh	R_material	4	R. Active material - electrolyte+separator free of CBD (active interface)	6.592160000000175e-09	m2
Surface mesh	R_material	4	R. Active material - electrolyte+separator (active interface)	6.592160000000175e-09	m2
Surface true	R_material	4	R. Active material - electrolyte+separator (effective active interface)	6.592160000000175e-09	m2
Surface mesh	R_material	5	R. Active material - R. current collector (applied current)	2.9455999999999696e-10	m2
Surface mesh	R_material	7	R. Active material - other surfaces (inactive interface)	2.600319999999975e-09	m2
Surface mesh	R_material	0	R. Active material non attributed surfaces  (should be =0)	0.0	m2
Ratio surface	Left electrode	1	Mesh free of CBD	0.9999999999999744	[]
Ratio surface	Right electrode	4	Mesh free of CBD	1.0	[]
Ratio surface	Left electrode	1	Mesh roughness correction	1.0	[]
Ratio surface	Right electrode	4	Mesh roughness correction	1.0	[]
Ratio surface	Left electrode	1	Mesh over true surface: All contribution	1.0	[]
Ratio surface	Right electrode	4	Mesh over true surface: All contribution	1.0	[]
Effective surface	Current collector	n/a	Use to scale current density	3.5343999999999997e-10	m2
Volume mesh	Left electrode	1	Solid mesh	8.802880000004694e-15	m3
Volume mesh	Left electrode	3	Electrolyte mesh	6.7484800000056975e-15	m3
Volume mesh	Right electrode	2	Solid mesh	8.802880000004697e-15	m3
Volume mesh	Right electrode	1	Electrolyte mesh	6.748480000005638e-15	m3
Volume mesh	Separator	2	Separator mesh	5.3722880000038725e-15	m3
Volume true	Electrolyte	2	Electrolyte mesh volume x Electrolyte cell porosity	1.254493401600196e-14	m3
Volume true	Left electrode	2	Electrolyte mesh volume x Electrolyte cell porosity	4.574764815682121e-15	m3
Volume true	Separator	2	Electrolyte mesh volume x Electrolyte cell porosity	2.201259510818483e-15	m3
Volume true	Right electrode	2	Electrolyte mesh volume x Electrolyte cell porosity	5.768909689500055e-15	m3
Volume mesh	Right electrode	n/a	Electrode mesh	1.5551360000010336e-14	m3
Volume mesh	Left electrode	n/a	Electrode mesh	1.555136000001039e-14	m3
Porosity mesh	Left electrode	n/a	Ratio of electrolyte mesh over electrode mesh	0.433947899090574	[]
Porosity mesh	Right electrode	n/a	Ratio of electrolyte mesh over electrode mesh	0.4339478990905717	[]
Porosity true	Left electrode	n/a	Volume electrolyte (true) over electrode volume mesh	0.2941713660849639	[]
Porosity true	Separator	n/a	Volume electrolyte (true) over separator volume mesh	0.4097433925390627	[]
Porosity true	Right electrode	n/a	Volume electrolyte (true) over electrode volume mesh	0.37095853285476127	[]
Porosity lower scale	Left electrode	n/a	Volume electrolyte (true) over volume electrolyte (mesh)	0.6778955876994907	[]
Porosity lower scale	Separator	n/a	Volume electrolyte (true) over volume separator (mesh)	0.4097433925390627	[]
Porosity lower scale	Right electrode	n/a	Volume electrolyte (true) over volume electrolyte (mesh)	0.8548457859392389	[]
Specific surface area mesh	Left electrode	n/a	S_mesh_solid_active / V_mesh_solid	748864.0081424172	[m-1]
Specific surface area true	Left electrode	n/a	S_true_solid_active / V_mesh_solid	748864.0081424172	[m-1]
Specific surface area mesh	Left electrode	n/a	S_mesh_electrolyte_active / V_mesh_electrolyte	976836.2653507903	[m-1]
Specific surface area true	Left electrode	n/a	S_true_electrolyte_active / V_true_electrolyte	1440983.3653967066	[m-1]
Specific surface area mesh	Left electrode	n/a	S_mesh_electrode_active / V_mesh_electrode	423896.04510446877	[m-1]
Specific surface area true	Left electrode	n/a	S_true_electrode_active / V_mesh_electrode	423896.04510446877	[m-1]
Specific surface area mesh	Right electrode	n/a	S_mesh_solid_active / V_solid	748864.00814241	[m-1]
Specific surface area true	Right electrode	n/a	S_true_solid_active scaled / V_mesh_solid	748864.00814241	[m-1]
Specific surface area mesh	Right electrode	n/a	S_mesh_electrolyte_active / V_mesh_electrolyte	976836.265350791	[m-1]
Specific surface area true	Right electrode	n/a	S_true_electrolyte_active / V_true_electrolyte	1142704.6625462607	[m-1]
Specific surface area mesh	Right electrode	n/a	S_mesh_electrode_active / V_mesh_electrode	423896.0451044663	[m-1]
Specific surface area true	Right electrode	n/a	S_true_electrode_active / V_mesh_electrode	423896.0451044663	[m-1]
Error surface mesh	Left electrode	1	Absolute error	1.6874484496081765e-22	[m2]
Error surface mesh	Left electrode	1	Relative error	2.559780784459324e-12	%
Error surface true	Left electrode	1	Absolute error	1.6874484496081765e-22	[m2]
Error surface true	Left electrode	1	Relative error	2.559780784459324e-12	%
Error surface mesh	Right electrode	4	Absolute error	1.6047303883528737e-22	[m2]
Error surface mesh	Right electrode	4	Relative error	2.4343013342407507e-12	%
Error surface true	Right electrode	4	Absolute error	1.6047303883528737e-22	[m2]
Error surface true	Right electrode	4	Relative error	2.4343013342407507e-12	%
