Domain	Process rank	Number of cells	Number of vertices	Number of DOFs	DOF Load [%]	Ideal load [%]
L_material	0.0	23255.0	4879.0	9428.0	2.8031492317206603	2.7777777777777777
L_material	1.0	23770.0	5285.0	10294.0	3.060629846344132	2.7777777777777777
L_material	2.0	22779.0	4837.0	8790.0	2.6134579706008276	2.7777777777777777
L_material	3.0	23630.0	4981.0	9570.0	2.8453689167974883	2.7777777777777777
L_material	4.0	23464.0	5159.0	9916.0	2.9482422339565195	2.7777777777777777
L_material	5.0	22910.0	5013.0	9714.0	2.8881832453261023	2.7777777777777777
L_material	6.0	23780.0	5208.0	10022.0	2.979758336901194	2.7777777777777777
L_material	7.0	23898.0	5218.0	10134.0	3.0130583702012275	2.7777777777777777
L_material	8.0	21864.0	4627.0	8480.0	2.52128823557395	2.7777777777777777
L_material	9.0	23480.0	4925.0	9492.0	2.822177822177822	2.7777777777777777
L_material	10.0	22899.0	4798.0	9288.0	2.7615241900956184	2.7777777777777777
L_material	11.0	23176.0	5017.0	9506.0	2.8263403263403264	2.7777777777777777
L_material	12.0	22408.0	4706.0	9052.0	2.691356262784834	2.7777777777777777
L_material	13.0	22569.0	4741.0	9106.0	2.7074116359830644	2.7777777777777777
L_material	14.0	21099.0	4467.0	8110.0	2.411279196993483	2.7777777777777777
L_material	15.0	22576.0	4801.0	8730.0	2.5956186670472383	2.7777777777777777
L_material	16.0	23594.0	5185.0	9966.0	2.963108320251177	2.7777777777777777
L_material	17.0	23296.0	4900.0	9466.0	2.8144474573046003	2.7777777777777777
L_material	18.0	23557.0	4949.0	9578.0	2.8477474906046334	2.7777777777777777
L_material	19.0	23762.0	5237.0	10082.0	2.9975976404547833	2.7777777777777777
L_material	20.0	22490.0	4742.0	8638.0	2.568265068265068	2.7777777777777777
L_material	21.0	22713.0	4772.0	9204.0	2.7365491651205938	2.7777777777777777
L_material	22.0	23159.0	4849.0	9414.0	2.798986727558156	2.7777777777777777
L_material	23.0	23204.0	4871.0	9388.0	2.7912563626849343	2.7777777777777777
L_material	24.0	23710.0	5213.0	10038.0	2.9845154845154847	2.7777777777777777
L_material	25.0	22317.0	4697.0	8990.0	2.672922315779459	2.7777777777777777
L_material	26.0	23007.0	4840.0	9330.0	2.774011702583131	2.7777777777777777
L_material	27.0	21165.0	4478.0	8138.0	2.419604205318491	2.7777777777777777
L_material	28.0	23745.0	5095.0	9656.0	2.8709385852242995	2.7777777777777777
L_material	29.0	23212.0	5117.0	9708.0	2.8863993149707436	2.7777777777777777
L_material	30.0	23764.0	5311.0	10276.0	3.0552780552780554	2.7777777777777777
L_material	31.0	22439.0	4714.0	9078.0	2.699086627658056	2.7777777777777777
L_material	32.0	23381.0	4900.0	9522.0	2.8310974739546166	2.7777777777777777
L_material	33.0	19672.0	4211.0	7584.0	2.2548879691736836	2.7777777777777777
L_material	34.0	21764.0	4615.0	8502.0	2.527829313543599	2.7777777777777777
L_material	35.0	23762.0	5240.0	10146.0	3.016626230911945	2.7777777777777777
Electrolyte_w_sep	0.0	50396.0	10943.0	20994.0	3.042608695652174	2.7777777777777777
Electrolyte_w_sep	1.0	51177.0	11011.0	21322.0	3.090144927536232	2.7777777777777777
Electrolyte_w_sep	2.0	48906.0	10594.0	20236.0	2.9327536231884057	2.7777777777777777
Electrolyte_w_sep	3.0	48932.0	10645.0	20340.0	2.9478260869565216	2.7777777777777777
Electrolyte_w_sep	4.0	41116.0	9043.0	17262.0	2.5017391304347827	2.7777777777777777
Electrolyte_w_sep	5.0	50411.0	11035.0	20752.0	3.007536231884058	2.7777777777777777
Electrolyte_w_sep	6.0	49731.0	10040.0	18034.0	2.613623188405797	2.7777777777777777
Electrolyte_w_sep	7.0	50732.0	10984.0	21086.0	3.0559420289855073	2.7777777777777777
Electrolyte_w_sep	8.0	49776.0	9932.0	18494.0	2.6802898550724636	2.7777777777777777
Electrolyte_w_sep	9.0	49406.0	9983.0	18086.0	2.621159420289855	2.7777777777777777
Electrolyte_w_sep	10.0	50365.0	10939.0	20910.0	3.0304347826086957	2.7777777777777777
Electrolyte_w_sep	11.0	49004.0	10672.0	20284.0	2.939710144927536	2.7777777777777777
Electrolyte_w_sep	12.0	51013.0	11016.0	21040.0	3.0492753623188404	2.7777777777777777
Electrolyte_w_sep	13.0	39182.0	7898.0	13586.0	1.9689855072463769	2.7777777777777777
Electrolyte_w_sep	14.0	49624.0	9923.0	17428.0	2.5257971014492755	2.7777777777777777
Electrolyte_w_sep	15.0	50181.0	10023.0	18636.0	2.7008695652173915	2.7777777777777777
Electrolyte_w_sep	16.0	49673.0	9808.0	17300.0	2.5072463768115942	2.7777777777777777
Electrolyte_w_sep	17.0	49581.0	9767.0	17354.0	2.515072463768116	2.7777777777777777
Electrolyte_w_sep	18.0	49716.0	9804.0	17498.0	2.5359420289855072	2.7777777777777777
Electrolyte_w_sep	19.0	49585.0	9745.0	17524.0	2.539710144927536	2.7777777777777777
Electrolyte_w_sep	20.0	49703.0	10044.0	17470.0	2.5318840579710145	2.7777777777777777
Electrolyte_w_sep	21.0	49416.0	9784.0	17844.0	2.586086956521739	2.7777777777777777
Electrolyte_w_sep	22.0	48626.0	9614.0	16242.0	2.353913043478261	2.7777777777777777
Electrolyte_w_sep	23.0	51211.0	11021.0	21108.0	3.0591304347826087	2.7777777777777777
Electrolyte_w_sep	24.0	48397.0	10634.0	20006.0	2.8994202898550725	2.7777777777777777
Electrolyte_w_sep	25.0	45775.0	10012.0	19118.0	2.7707246376811594	2.7777777777777777
Electrolyte_w_sep	26.0	49534.0	10780.0	20482.0	2.9684057971014495	2.7777777777777777
Electrolyte_w_sep	27.0	50986.0	11087.0	21120.0	3.0608695652173914	2.7777777777777777
Electrolyte_w_sep	28.0	49716.0	10093.0	18680.0	2.7072463768115944	2.7777777777777777
Electrolyte_w_sep	29.0	49717.0	9917.0	18320.0	2.655072463768116	2.7777777777777777
Electrolyte_w_sep	30.0	49699.0	10007.0	18424.0	2.670144927536232	2.7777777777777777
Electrolyte_w_sep	31.0	49065.0	10845.0	20654.0	2.993333333333333	2.7777777777777777
Electrolyte_w_sep	32.0	49868.0	10847.0	20900.0	3.028985507246377	2.7777777777777777
Electrolyte_w_sep	33.0	49587.0	10698.0	20468.0	2.966376811594203	2.7777777777777777
Electrolyte_w_sep	34.0	49095.0	10636.0	20076.0	2.9095652173913042	2.7777777777777777
Electrolyte_w_sep	35.0	50090.0	10793.0	20922.0	3.0321739130434784	2.7777777777777777
R_material	0.0	23296.0	4894.0	9398.0	2.7942295799438654	2.7777777777777777
R_material	1.0	23856.0	5227.0	10090.0	2.9999762142619284	2.7777777777777777
R_material	2.0	23273.0	4912.0	8778.0	2.60989010989011	2.7777777777777777
R_material	3.0	23142.0	4925.0	8992.0	2.673516959231245	2.7777777777777777
R_material	4.0	22996.0	4824.0	9300.0	2.7650920508063366	2.7777777777777777
R_material	5.0	22025.0	4827.0	9178.0	2.728818800247372	2.7777777777777777
R_material	6.0	23485.0	4929.0	9492.0	2.822177822177822	2.7777777777777777
R_material	7.0	23941.0	5256.0	10142.0	3.0154369440083726	2.7777777777777777
R_material	8.0	23363.0	4935.0	9074.0	2.6978973407544835	2.7777777777777777
R_material	9.0	23004.0	5028.0	9080.0	2.6996812711098426	2.7777777777777777
R_material	10.0	22988.0	4833.0	9304.0	2.766281337709909	2.7777777777777777
R_material	11.0	21974.0	4616.0	8890.0	2.643190143190143	2.7777777777777777
R_material	12.0	22594.0	4746.0	9208.0	2.7377384520241663	2.7777777777777777
R_material	13.0	22753.0	5063.0	9620.0	2.860235003092146	2.7777777777777777
R_material	14.0	22926.0	4805.0	9230.0	2.7442795299938156	2.7777777777777777
R_material	15.0	22131.0	4856.0	8800.0	2.6164311878597593	2.7777777777777777
R_material	16.0	21997.0	4828.0	9266.0	2.754983112125969	2.7777777777777777
R_material	17.0	23016.0	4830.0	9362.0	2.783525997811712	2.7777777777777777
R_material	18.0	23716.0	5110.0	9654.0	2.8703439417725134	2.7777777777777777
R_material	19.0	23947.0	5335.0	10354.0	3.0784691498977215	2.7777777777777777
R_material	20.0	23000.0	4843.0	8858.0	2.633675847961562	2.7777777777777777
R_material	21.0	23381.0	4905.0	9506.0	2.8263403263403264	2.7777777777777777
R_material	22.0	23360.0	4924.0	9440.0	2.806717092431378	2.7777777777777777
R_material	23.0	23365.0	5209.0	10108.0	3.005328005328005	2.7777777777777777
R_material	24.0	23807.0	5246.0	10110.0	3.0059226487797917	2.7777777777777777
R_material	25.0	23072.0	5042.0	9618.0	2.8596403596403595	2.7777777777777777
R_material	26.0	23276.0	4889.0	9394.0	2.793040293040293	2.7777777777777777
R_material	27.0	19716.0	4201.0	7614.0	2.263807620950478	2.7777777777777777
R_material	28.0	23812.0	5239.0	10188.0	3.0291137433994577	2.7777777777777777
R_material	29.0	23040.0	4836.0	9318.0	2.7704438418724133	2.7777777777777777
R_material	30.0	23716.0	5185.0	10044.0	2.9862994148708433	2.7777777777777777
R_material	31.0	22527.0	4730.0	9150.0	2.7204937919223635	2.7777777777777777
R_material	32.0	20657.0	4440.0	7956.0	2.3654916512059367	2.7777777777777777
R_material	33.0	22935.0	4817.0	9268.0	2.7555777555777556	2.7777777777777777
R_material	34.0	21642.0	4801.0	8590.0	2.553993625422197	2.7777777777777777
R_material	35.0	23541.0	5184.0	9962.0	2.9619190333476046	2.7777777777777777
